"","ubigeo_inei","UbigeoMINSA","Vac6Jun","Vac28Jul","Vac18Oct","Poblacion18","departamento","provincia","distrito","SaludIDH","EducacionSIDHE","IngresoIDHE","IDH2019","IVIA","Pobreza","PobrezaExtrema","Avance1","Avance2","Avance3","IDHCategorias","PobrezaCategorias","IVIAnum","IVIACategorias"
"19","010119",19,9,111,396,532,"AMAZONAS","CHACHAPOYAS","SAN ISIDRO DE MAINO",69.7964962203856,38.234447732801,0.15870562844384,0.321841647375863,"0.597339868545532",43.370115,27.92597,1.69172932330827,20.8646616541353,74.4360902255639,"Q2","Q2",0.597339868545532,"Q3"
"20","010120",20,40,269,921,1286,"AMAZONAS","CHACHAPOYAS","SOLOCO",74.3971235512294,36.3103115644295,0.181253010367974,0.344628159000522,"0.58845716714858998",41.062364,21.18722,3.1104199066874,20.9175738724728,71.6174183514774,"Q2","Q2",0.58845716714859,"Q3"
"21","010121",21,7,44,217,314,"AMAZONAS","CHACHAPOYAS","SONCHE",74.2536355612902,34.0832791218111,0.245966785809251,0.372094481565758,"0.64458286762237604",55.850202,52.77253,2.22929936305732,14.0127388535032,69.1082802547771,"Q2","Q1",0.644582867622376,"Q2"
"22","010201",22,853,2688,9213,19180,"AMAZONAS","BAGUA","BAGUA",73.0256369623969,70.7955012056306,0.421507109664742,0.584063033773132,"0.23305821418762199",16.212835,4.467983,4.4473409801877,14.014598540146,48.0344108446298,"Q4","Q5",0.233058214187622,"Q5"
"23","010202",23,106,547,2451,8754,"AMAZONAS","BAGUA","ARAMANGO",73.2421344364118,37.545885069022,0.203166796876531,0.361182152533835,"0.657975673675537",38.525807,19.27075,1.21087502855837,6.24857208133425,27.9986291980809,"Q2","Q3",0.657975673675537,"Q2"
"24","010203",24,109,555,2193,4184,"AMAZONAS","BAGUA","COPALLIN",74.2191520463262,52.5713610635485,0.334449789215999,0.467245207758446,"0.49796408414840698",24.530258,11.24363,2.60516252390057,13.2648183556405,52.4139579349904,"Q3","Q4",0.497964084148407,"Q3"
"25","010204",25,33,197,701,1301,"AMAZONAS","BAGUA","EL PARCO",74.3330577871306,70.21540936821,0.310809702354657,0.489048641213126,"0.55159813165664695",35.249588,12.15905,2.53651037663336,15.1421983089931,53.8816295157571,"Q3","Q3",0.551598131656647,"Q3"
"26","010205",26,151,1034,2817,22759,"AMAZONAS","BAGUA","IMAZA",73.0658634878993,31.2957185694346,0.111212937381019,0.298089241112547,"0.68430852890014604",53.94969,48.88884,0.663473790588339,4.54325761237313,12.3775209807109,"Q1","Q1",0.684308528900146,"Q1"
"27","010206",27,197,979,3324,7363,"AMAZONAS","BAGUA","LA PECA",71.5071158519013,48.5059909813037,0.375603975614264,0.490583795558475,"0.47312736511230502",34.761666,21.7995,2.67553986146951,13.296210783648,45.1446421295668,"Q3","Q3",0.473127365112305,"Q4"
"28","010301",28,28,196,587,856,"AMAZONAS","BONGARA","JUMBILLA",70.1685816641876,42.2092602560898,0.293715897381826,0.451394193185704,"0.35268652439117398",29.547678,5.12921,3.27102803738318,22.8971962616822,68.5747663551402,"Q3","Q3",0.352686524391174,"Q4"
